matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1,static,C-N,3941789726,51189830,855160,103133
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1,dynamic,C-N,3930662556,54494719,2041106,78703
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1,guided,C-N,3902202078,46716342,504015,95636
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10,static,C-N,3906085863,48534673,1067583,159266
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10,dynamic,C-N,3904971461,48785327,1028679,85919
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10,guided,C-N,3902192842,46852475,509776,94353
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,100,static,C-N,3902519210,47125977,764461,157688
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,100,dynamic,C-N,3902407507,47129291,753557,142126
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,100,guided,C-N,3902182756,46847730,514335,92303
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1000,static,C-N,3902161814,46916319,618932,92216
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1000,dynamic,C-N,3902150467,46924399,617798,92655
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,1000,guided,C-N,3902194978,46886474,513416,92923
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10000,static,C-N,3902141768,46933153,526075,85557
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10000,dynamic,C-N,3902124872,46846780,534121,80005
G3_circuit.mtx,1585478,1585478,4623152,-O3,4,10000,guided,C-N,3902190923,46834137,512127,93213
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1,static,C-N,3941912464,55066750,1538317,254179
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1,dynamic,C-N,3930785979,56440748,2603793,77460
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1,guided,C-N,3902322573,46816556,515627,102772
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10,static,C-N,3906210315,48864602,1582107,240356
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10,dynamic,C-N,3905159663,49001753,1537598,127115
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10,guided,C-N,3902311560,46764656,515598,100785
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,100,static,C-N,3902653494,47262103,864072,163935
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,100,dynamic,C-N,3902527181,47209655,841806,183368
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,100,guided,C-N,3902359966,46890217,522221,102310
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1000,static,C-N,3902301792,46942689,630211,94686
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1000,dynamic,C-N,3902363150,46904864,638954,99776
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,1000,guided,C-N,3902305428,46868743,515094,97253
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10000,static,C-N,3902318263,46842695,533700,83289
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10000,dynamic,C-N,3902258661,46888596,529762,92794
G3_circuit.mtx,1585478,1585478,4623152,-O3,8,10000,guided,C-N,3902333905,46886716,521618,97940
G3_circuit.mtx,1585478,1585478,4623152,-O3,16,1,static,C-N,3942319699,56646175,3576557,296013
G3_circuit.mtx,1585478,1585478,4623152,-O3,16,1,dynamic,C-N,3931123237,58350628,4209930,75919
